Estado,PorcentagemVotos,PIB
Acre,62.24,15331
Alagoas,34.40,54413
Amapá,40.74,16795
Amazonas,43.48,100109
Bahia,23.41,286240
Ceará,21.74,155904
Distrito Federal,58.37,254817
Espírito Santo,54.76,137020
Goiás,57.24,195682
Maranhão,24.28,98179
Mato Grosso,60.04,137443
Mato Grosso do Sul,55.06,106969
Minas Gerais,48.31,614876
Paraná,56.89,440029
Paraíba,31.30,64374
Pará,36.19,161350
Pernambuco,30.57,186352
Piauí,18.76,50378
Rio de Janeiro,59.79,758859
Rio Grande do Norte,30.21,66970
Rio Grande do Sul,52.63,457294
Rondônia,62.24,44914
Roraima,62.97,13370
Santa Catarina,65.82,298227
Sergipe,27.21,42018
São Paulo,53.00,2210562
Tocantins,44.64,35666
